"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TUR","Turkey","TRIPS_TOTAL","Total domestic trips","2009","2009","NBR","Number","0","Units",,,100460000,,
"TUR","Turkey","TRIPS_TOTAL","Total domestic trips","2010","2010","NBR","Number","0","Units",,,111501000,,
"TUR","Turkey","TRIPS_TOTAL","Total domestic trips","2011","2011","NBR","Number","0","Units",,,104171000,,
"TUR","Turkey","TRIPS_TOTAL","Total domestic trips","2012","2012","NBR","Number","0","Units",,,106226000,,
"TUR","Turkey","TRIPS_TOTAL","Total domestic trips","2013","2013","NBR","Number","0","Units",,,112161000,,
"TUR","Turkey","TRIPS_TOTAL","Total domestic trips","2014","2014","NBR","Number","0","Units",,,115088000,,
"TUR","Turkey","TRIPS_TOTAL","Total domestic trips","2015","2015","NBR","Number","0","Units",,,115381000,,
"TUR","Turkey","TRIPS_TOTAL","Total domestic trips","2016","2016","NBR","Number","0","Units",,,106501000,,
"AUS","Australia","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,72009000,,
"AUS","Australia","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,67670000,,
"AUS","Australia","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2010","2010","NBR","Number","0","Units",,,69297000,,
"AUS","Australia","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2011","2011","NBR","Number","0","Units",,,71895000,,
"AUS","Australia","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2012","2012","NBR","Number","0","Units",,,74472000,,
"AUS","Australia","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2013","2013","NBR","Number","0","Units",,,75796000,,
"AUS","Australia","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2014","2014","NBR","Number","0","Units",,,84481000,,
"AUS","Australia","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2015","2015","NBR","Number","0","Units",,,87523000,,
"AUS","Australia","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2016","2016","NBR","Number","0","Units",,,90742000,,
"AUT","Austria","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,10680951,,
"AUT","Austria","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,10961335,,
"AUT","Austria","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2010","2010","NBR","Number","0","Units",,,11384995,,
"AUT","Austria","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2011","2011","NBR","Number","0","Units",,,11617127,,
"AUT","Austria","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2012","2012","NBR","Number","0","Units",,,12013271,,
"AUT","Austria","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2013","2013","NBR","Number","0","Units",,,12034087,,
"AUT","Austria","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2014","2014","NBR","Number","0","Units",,,12265141,,
"AUT","Austria","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2015","2015","NBR","Number","0","Units",,,12696702,,
"AUT","Austria","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2016","2016","NBR","Number","0","Units",,,13342758,,
"BEL","Belgium","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,3081487,,
"BEL","Belgium","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,3218323,,
"BEL","Belgium","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2010","2010","NBR","Number","0","Units",,,3601163,,
"BEL","Belgium","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2011","2011","NBR","Number","0","Units",,,3882797,,
"BEL","Belgium","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2012","2012","NBR","Number","0","Units",,,3805589,,
"BEL","Belgium","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2013","2013","NBR","Number","0","Units",,,3947228,,
"BEL","Belgium","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2014","2014","NBR","Number","0","Units",,,4175387,,
"BEL","Belgium","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2015","2015","NBR","Number","0","Units",,,4304415,"B","Break"
"BEL","Belgium","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2016","2016","NBR","Number","0","Units",,,4325879,,
"CAN","Canada","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,87647000,,
"CAN","Canada","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,91386000,,
"CAN","Canada","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2010","2010","NBR","Number","0","Units",,,92143000,,
"CAN","Canada","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2011","2011","NBR","Number","0","Units",,,105743000,"B","Break"
"CAN","Canada","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2012","2012","NBR","Number","0","Units",,,108393000,,
"CAN","Canada","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2013","2013","NBR","Number","0","Units",,,108925000,,
"CAN","Canada","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2014","2014","NBR","Number","0","Units",,,108647000,,
"CAN","Canada","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2015","2015","NBR","Number","0","Units",,,109805000,,
"CAN","Canada","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2016","2016","NBR","Number","0","Units",,,113053000,,
"CZE","Czech Republic","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,28010188.719,,
"CZE","Czech Republic","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,27850329.38,,
"CZE","Czech Republic","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2010","2010","NBR","Number","0","Units",,,27613968.13,,
"CZE","Czech Republic","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2011","2011","NBR","Number","0","Units",,,29852894.686,,
"CZE","Czech Republic","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2012","2012","NBR","Number","0","Units",,,29219674.636,,
"CZE","Czech Republic","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2013","2013","NBR","Number","0","Units",,,29215115.491,,
"CZE","Czech Republic","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2014","2014","NBR","Number","0","Units",,,29412333.834,,
"CZE","Czech Republic","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2015","2015","NBR","Number","0","Units",,,28324773.965,"P","Provisional value"
"CZE","Czech Republic","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2016","2016","NBR","Number","0","Units",,,31960487.976,"E","Estimated value"
"DNK","Denmark","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,14963956,"E","Estimated value"
"DNK","Denmark","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,14658166,"E","Estimated value"
"DNK","Denmark","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2010","2010","NBR","Number","0","Units",,,14634452,"E","Estimated value"
"DNK","Denmark","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2011","2011","NBR","Number","0","Units",,,9860294,"E","Estimated value"
"DNK","Denmark","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2012","2012","NBR","Number","0","Units",,,9863296,"E","Estimated value"
"DNK","Denmark","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2013","2013","NBR","Number","0","Units",,,9907430,"E","Estimated value"
"DNK","Denmark","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2014","2014","NBR","Number","0","Units",,,14620276,"E","Estimated value"
